Flight Number,Departure IATA Code,Scheduled Time,Arrival IATA Code,Arrival Estimated Time,Scheduled Date,Arrival Estimated Date,airline_iataCode,airline_icaoCode,airline_name,arrival_actualRunwayDate,arrival_actualRunwayTime,arrival_actualTime,arrival_baggage,arrival_estimatedDate,arrival_estimatedRunwayDate,arrival_estimatedRunwayTime,arrival_estimatedTime,arrival_gate,arrival_icaoCode,arrival_scheduledDate,arrival_scheduledTime,arrival_terminal,codeshared_airline_iataCode,codeshared_airline_icaoCode,codeshared_airline_name,codeshared_flight_iataNumber,codeshared_flight_icaoNumber,codeshared_flight_number,departure_actualRunwayDate,departure_actualRunwayTime,departure_estimatedRunwayDate,departure_estimatedRunwayTime,departure_gate,departure_icaoCode,departure_terminal,flight_iataNumber,flight_icaoNumber,Temperature (°F)_Avg,Dew Point (°F)_Avg,Dew Point (°F)_Min,Humidity (%)_Avg,Humidity (%)_Min,Wind Speed (mph)_Avg,Pressure (in)_Avg,Pressure (in)_Min,Pressure (in)_Max,departure_hour,hours_category,hours_cate,departure_arrival,country,departure_scheduledTime,scheduled_duration,Temperature_Condition,Humidity_cate,Humid_Temp,shared
4361,lhe,00:20:00,dxb,00:20:00,2024-05-14,2024-05-14,et,eth,ethiopian airlines,,,,,2024-05-14,,,02:28:00,,omdb,2024-05-14,1900-01-01 02:55:00,1,pk,pia,pakistan international airlines,pk235,pia235,235.0,2024-05-14,00:23:00,2024-05-14,00:23:00,,opla,m,et4361,eth4361,90.4,55.7,52,33.2,18,8.0,29.0,29.0,29.1,0,1,high,lhe -> dxb,Ethiopia,1900-01-01 00:20:00,155.0,High,Low,Low,1
1876,lhe,04:15:00,ruh,04:15:00,2024-05-07,2024-05-07,et,eth,ethiopian airlines,,,,,2024-05-07,,,06:29:00,,oerk,2024-05-07,1900-01-01 06:30:00,t3,xy,kne,flynas,xy318,kne318,318.0,2024-05-07,04:16:00,2024-05-07,04:16:00,,opla,m,et1876,eth1876,93.0,55.1,45,31.1,13,4.5,28.9,28.9,29.0,4,1,high,lhe -> ruh,Ethiopia,1900-01-01 04:15:00,135.0,High,Low,Low,1
6030,lhe,03:10:00,doh,03:10:00,2024-05-09,2024-05-09,wy,oma,oman air,,,,2,2024-05-09,,,05:03:00,,othh,2024-05-09,1900-01-01 04:55:00,,qr,qtr,qatar airways,qr621,qtr621,621.0,2024-05-09,03:24:00,2024-05-09,03:24:00,,opla,m,wy6030,oma6030,91.6,64.8,59,42.5,27,8.2,28.9,28.8,28.9,3,1,high,lhe -> doh,Oman,1900-01-01 03:10:00,105.0,High,Low,Low,1
739,lhe,02:50:00,jed,02:50:00,2024-05-12,2024-05-12,sv,sva,saudia,,,,,,,,,,oejn,2024-05-12,1900-01-01 06:15:00,1,,,,,,,,,,,,opla,m,sv739,sva739,84.7,65.8,61,54.2,34,10.5,29.1,28.9,29.1,2,1,high,lhe -> jed,Saudi Arabia,1900-01-01 02:50:00,205.0,High,Low,High,0
3932,lhe,04:35:00,auh,04:35:00,2024-05-16,2024-05-16,kl,klm,klm,,,,5,2024-05-16,,,06:57:00,d46a,omaa,2024-05-16,1900-01-01 07:00:00,a,ey,etd,etihad airways,ey242,etd242,242.0,2024-05-16,04:49:00,2024-05-16,04:49:00,22,opla,m,kl3932,klm3932,96.6,61.8,57,33.3,19,3.9,29.0,28.9,29.1,4,1,high,lhe -> auh,Netherlands,1900-01-01 04:35:00,145.0,High,Low,Low,1
410,lhe,14:55:00,dxb,14:45:00,2024-05-04,2024-05-04,pa,abq,airblue,,,,02,2024-05-04,,,17:13:00,,omdb,2024-05-04,1900-01-01 17:25:00,1,,,,,,,2024-05-04,15:01:00,2024-05-04,15:01:00,,opla,m,pa410,abq410,86.0,54.6,50,36.7,22,11.1,29.0,28.9,29.0,14,0,high,lhe -> dxb,Pakistan,1900-01-01 14:55:00,150.0,High,Low,Low,0
6030,lhe,03:10:00,doh,03:10:00,2024-05-02,2024-05-02,wy,oma,oman air,,,,2,2024-05-02,,,04:55:00,,othh,2024-05-02,1900-01-01 04:55:00,,qr,qtr,qatar airways,qr621,qtr621,621.0,2024-05-02,03:21:00,2024-05-02,03:21:00,,opla,m,wy6030,oma6030,79.7,51.5,45,41.9,19,5.3,28.9,28.9,29.0,3,1,high,lhe -> doh,Oman,1900-01-01 03:10:00,105.0,High,Low,Low,1
7579,lhe,09:00:00,dxb,09:00:00,2024-05-03,2024-05-03,ac,aca,air canada,,,,12,,,,,,omdb,2024-05-03,1900-01-01 11:15:00,3,ek,uae,emirates,ek625,uae625,625.0,,,,,,opla,main,ac7579,aca7579,82.8,50.7,45,35.4,19,4.0,29.0,28.9,29.0,9,1,low,lhe -> dxb,Canada,1900-01-01 09:00:00,135.0,High,Low,Low,1
3894,lhe,20:40:00,auh,20:40:00,2024-05-11,2024-05-11,kl,klm,klm,,,,1,2024-05-11,,,22:46:00,d49,omaa,2024-05-11,1900-01-01 23:05:00,a,ey,etd,etihad airways,ey244,etd244,244.0,2024-05-11,20:35:00,2024-05-11,20:35:00,23,opla,m,kl3894,klm3894,85.8,62.7,59,47.6,27,8.3,29.0,29.0,29.1,20,0,low,lhe -> auh,Netherlands,1900-01-01 20:40:00,145.0,High,Low,Low,1
405,lhe,17:00:00,khi,17:00:00,2024-05-09,2024-05-09,pa,abq,airblue,,,,,2024-05-09,,,18:52:00,,opkc,2024-05-09,1900-01-01 18:55:00,m,,,,,,,2024-05-09,17:18:00,2024-05-09,17:18:00,,opla,m,pa405,abq405,91.6,64.8,59,42.5,27,8.2,28.9,28.8,28.9,17,0,low,lhe -> khi,Pakistan,1900-01-01 17:00:00,115.0,High,Low,Low,0
244,lhe,20:40:00,auh,20:54:00,2024-05-09,2024-05-09,ey,etd,etihad airways,,,,5,,,,,b23a,omaa,2024-05-09,1900-01-01 23:05:00,a,,,,,,,,,,,gate,opla,m,ey244,etd244,91.6,64.8,59,42.5,27,8.2,28.9,28.8,28.9,20,0,low,lhe -> auh,UAE,1900-01-01 20:40:00,145.0,High,Low,Low,0
430,lhe,00:30:00,auh,00:50:00,2024-05-09,2024-05-09,pa,abq,airblue,,,,,,,,,,omaa,2024-05-09,1900-01-01 02:55:00,a,,,,,,,,,,,,opla,m,pa430,abq430,91.6,64.8,59,42.5,27,8.2,28.9,28.8,28.9,0,1,high,lhe -> auh,Pakistan,1900-01-01 00:30:00,145.0,High,Low,Low,0
453,lhe,07:00:00,kdu,07:00:00,2024-05-01,2024-05-01,pk,pia,pakistan international airlines,,,,,,,,,,opsd,2024-05-01,1900-01-01 08:20:00,,,,,,,,,,,,,opla,m,pk453,pia453,72.5,50.3,43,48.9,25,7.0,28.9,28.9,29.0,7,1,low,lhe -> kdu,Pakistan,1900-01-01 07:00:00,80.0,High,Low,Low,0
621,lhe,03:10:00,doh,03:10:00,2024-05-02,2024-05-02,qr,qtr,qatar airways,,,,2,2024-05-02,,,04:55:00,,othh,2024-05-02,1900-01-01 04:55:00,,,,,,,,2024-05-02,03:21:00,2024-05-02,03:21:00,,opla,m,qr621,qtr621,79.7,51.5,45,41.9,19,5.3,28.9,28.9,29.0,3,1,high,lhe -> doh,Qatar,1900-01-01 03:10:00,105.0,High,Low,Low,0
203,lhe,12:25:00,dxb,12:25:00,2024-05-07,2024-05-07,pk,pia,pakistan international airlines,,,,02,2024-05-07,,,14:52:00,,omdb,2024-05-07,1900-01-01 15:00:00,1,,,,,,,2024-05-07,12:39:00,2024-05-07,12:39:00,,opla,m,pk203,pia203,93.0,55.1,45,31.1,13,4.5,28.9,28.9,29.0,12,1,high,lhe -> dxb,Pakistan,1900-01-01 12:25:00,155.0,High,Low,Low,0
797,lhe,07:20:00,yyz,07:20:00,2024-05-05,2024-05-05,pk,pia,pakistan international airlines,,,,,2024-05-05,,,09:32:00,,cyyz,2024-05-05,1900-01-01 13:00:00,3,,,,,,,2024-05-05,05:20:00,2024-05-05,05:20:00,,opla,m,pk797,pia797,87.7,55.5,52,34.9,22,7.8,28.9,28.8,28.9,7,1,low,lhe -> yyz,Pakistan,1900-01-01 07:20:00,340.0,High,Low,Low,0
723,lhe,11:30:00,dxb,17:30:00,2024-05-11,2024-05-11,er,sep,serene air,,,,05,,,,,,omdb,2024-05-11,1900-01-01 14:00:00,1,,,,,,,,,,,,opla,m,er723,sep723,85.8,62.7,59,47.6,27,8.3,29.0,29.0,29.1,11,1,high,lhe -> dxb,Pakistan,1900-01-01 11:30:00,150.0,High,Low,Low,0
9410,lhe,23:40:00,bkk,23:40:00,2024-05-05,2024-05-05,oz,aar,asiana airlines,,,,,,,,,,vtbs,2024-05-06,1900-01-01 06:10:00,,tg,tha,thai airways international,tg346,tha346,346.0,,,,,,opla,m,oz9410,aar9410,87.7,55.5,52,34.9,22,7.8,28.9,28.8,28.9,23,0,low,lhe -> bkk,South Korea,1900-01-01 23:40:00,390.0,High,Low,Low,1
7617,lhe,03:30:00,dxb,04:05:00,2024-05-10,2024-05-10,ac,aca,air canada,,,,08,,,,,,omdb,2024-05-10,1900-01-01 05:40:00,3,ek,uae,emirates,ek623,uae623,623.0,,,,,,opla,main,ac7617,aca7617,88.7,65.5,46,47.6,34,16.3,29.0,28.9,29.1,3,1,high,lhe -> dxb,Canada,1900-01-01 03:30:00,130.0,High,Low,Low,1
502,lhe,03:00:00,kwi,03:00:00,2024-05-06,2024-05-06,j9,jzr,jazeera airways,,,,,2024-05-06,,,04:59:00,136,okkk,2024-05-06,1900-01-01 05:00:00,5,,,,,,,2024-05-06,03:10:00,2024-05-06,03:10:00,,opla,,j9502,jzr502,91.3,54.4,48,31.0,16,4.8,28.9,28.8,28.9,3,1,high,lhe -> kwi,Kuwait,1900-01-01 03:00:00,120.0,High,Low,Low,0
3836,lhe,09:55:00,doh,09:55:00,2024-05-14,2024-05-14,rj,rja,royal jordanian,,,,1,2024-05-14,,,11:25:00,,othh,2024-05-14,1900-01-01 11:40:00,,qr,qtr,qatar airways,qr629,qtr629,629.0,2024-05-14,10:02:00,2024-05-14,10:02:00,,opla,m,rj3836,rja3836,90.4,55.7,52,33.2,18,8.0,29.0,29.0,29.1,9,1,low,lhe -> doh,Jordan,1900-01-01 09:55:00,105.0,High,Low,Low,1
843,lhe,15:00:00,khi,15:00:00,2024-05-08,2024-05-08,9p,fjl,flyjinnah,,,,,,,,,,opkc,2024-05-08,1900-01-01 16:45:00,,,,,,,,,,,,,opla,,9p843,fjl843,92.9,55.4,48,31.5,14,3.6,28.9,28.8,29.0,15,0,high,lhe -> khi,Pakistan,1900-01-01 15:00:00,105.0,High,Low,Low,0
203,lhe,12:25:00,dxb,12:25:00,2024-05-05,2024-05-05,pk,pia,pakistan international airlines,,,,07,2024-05-05,,,14:52:00,,omdb,2024-05-05,1900-01-01 15:00:00,1,,,,,,,2024-05-05,12:42:00,2024-05-05,12:42:00,,opla,m,pk203,pia203,87.7,55.5,52,34.9,22,7.8,28.9,28.8,28.9,12,1,high,lhe -> dxb,Pakistan,1900-01-01 12:25:00,155.0,High,Low,Low,0
7913,lhe,03:10:00,doh,03:10:00,2024-05-09,2024-05-09,ib,ibe,iberia,,,,2,2024-05-09,,,05:03:00,,othh,2024-05-09,1900-01-01 04:55:00,,qr,qtr,qatar airways,qr621,qtr621,621.0,2024-05-09,03:24:00,2024-05-09,03:24:00,,opla,m,ib7913,ibe7913,91.6,64.8,59,42.5,27,8.2,28.9,28.8,28.9,3,1,high,lhe -> doh,Spain,1900-01-01 03:10:00,105.0,High,Low,Low,1
4361,lhe,00:20:00,dxb,00:20:00,2024-05-07,2024-05-07,et,eth,ethiopian airlines,,,,,2024-05-07,,,02:58:00,,omdb,2024-05-07,1900-01-01 02:55:00,1,pk,pia,pakistan international airlines,pk235,pia235,235.0,2024-05-07,00:47:00,2024-05-07,00:47:00,,opla,m,et4361,eth4361,93.0,55.1,45,31.1,13,4.5,28.9,28.9,29.0,0,1,high,lhe -> dxb,Ethiopia,1900-01-01 00:20:00,155.0,High,Low,Low,1
500,lhe,12:45:00,shj,12:45:00,2024-05-07,2024-05-07,9p,fjl,flyjinnah,,,,,,,,,,omsj,2024-05-07,1900-01-01 15:00:00,,,,,,,,,,,,,opla,,9p500,fjl500,93.0,55.1,45,31.1,13,4.5,28.9,28.9,29.0,12,1,high,lhe -> shj,Pakistan,1900-01-01 12:45:00,135.0,High,Low,Low,0
735,lhe,10:45:00,jed,10:45:00,2024-05-01,2024-05-01,sv,sva,saudia,,,,,2024-05-01,,,14:52:00,,oejn,2024-05-01,1900-01-01 13:55:00,1,,,,,,,2024-05-01,11:30:00,2024-05-01,11:30:00,,opla,m,sv735,sva735,72.5,50.3,43,48.9,25,7.0,28.9,28.9,29.0,10,1,low,lhe -> jed,Saudi Arabia,1900-01-01 10:45:00,190.0,High,Low,Low,0
6634,lhe,03:10:00,doh,03:10:00,2024-05-08,2024-05-08,b6,jbu,jetblue airways,,,,2,2024-05-08,,,04:59:00,,othh,2024-05-08,1900-01-01 04:55:00,,qr,qtr,qatar airways,qr621,qtr621,621.0,2024-05-08,03:23:00,2024-05-08,03:23:00,,opla,m,b66634,jbu6634,92.9,55.4,48,31.5,14,3.6,28.9,28.8,29.0,3,1,high,lhe -> doh,USA,1900-01-01 03:10:00,105.0,High,Low,Low,1
